chromophore,region,lag_seconds_eeg_leads_nirs,eeg_measure,nirs_measure,n_participants,fisher_mean_pearson_r,fisher_z_t,group_p,group_q_global,significant_p05
HbT,Central,8.0,entropy__sample_entropy,entropy__mse,26,-0.0272,-1.1810,2.487301e-01,7.451468e-01,NO
HbT,Central,8.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0192,-0.7893,4.373384e-01,8.277916e-01,NO
HbT,Frontal,0.0,entropy__mse,entropy__mse,26,-0.0205,-0.6676,5.104938e-01,8.521513e-01,NO
HbT,Frontal,0.0,entropy__mse,entropy__sample_entropy,26,-0.0144,-0.4822,6.338925e-01,9.018795e-01,NO
HbT,Frontal,0.0,entropy__sample_entropy,entropy__mse,26,-0.0163,-0.5341,5.979910e-01,8.903209e-01,NO
HbT,Frontal,0.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0128,-0.4446,6.604395e-01,9.119369e-01,NO
HbT,Frontal,2.0,entropy__mse,entropy__mse,26,-0.0216,-0.7596,4.545922e-01,8.278001e-01,NO
HbT,Frontal,2.0,entropy__mse,entropy__sample_entropy,26,-0.0181,-0.6481,5.228531e-01,8.529768e-01,NO
HbT,Frontal,2.0,entropy__sample_entropy,entropy__mse,26,-0.0163,-0.5535,5.848690e-01,8.878738e-01,NO
HbT,Frontal,2.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0144,-0.5136,6.120504e-01,8.925735e-01,NO
HbT,Frontal,4.0,entropy__mse,entropy__mse,26,-0.0193,-0.6670,5.108738e-01,8.521513e-01,NO
HbT,Frontal,4.0,entropy__mse,entropy__sample_entropy,26,-0.0160,-0.5655,5.767922e-01,8.846746e-01,NO
HbT,Frontal,4.0,entropy__sample_entropy,entropy__mse,26,-0.0140,-0.4767,6.377338e-01,9.034971e-01,NO
HbT,Frontal,4.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0121,-0.4315,6.697723e-01,9.150914e-01,NO
HbT,Frontal,6.0,entropy__mse,entropy__mse,26,-0.0209,-0.7719,4.474343e-01,8.278001e-01,NO
HbT,Frontal,6.0,entropy__mse,entropy__sample_entropy,26,-0.0166,-0.6069,5.493909e-01,8.695140e-01,NO
HbT,Frontal,6.0,entropy__sample_entropy,entropy__mse,26,-0.0160,-0.5624,5.788756e-01,8.846746e-01,NO
HbT,Frontal,6.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0131,-0.4754,6.386473e-01,9.037302e-01,NO
HbT,Frontal,8.0,entropy__mse,entropy__mse,26,-0.0279,-1.0767,2.918984e-01,7.713152e-01,NO
HbT,Frontal,8.0,entropy__mse,entropy__sample_entropy,26,-0.0246,-0.9588,3.468628e-01,7.922505e-01,NO
HbT,Frontal,8.0,entropy__sample_entropy,entropy__mse,26,-0.0230,-0.8319,4.133454e-01,8.203403e-01,NO
HbT,Frontal,8.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0200,-0.7534,4.582601e-01,8.278001e-01,NO
HbT,Occipital,0.0,entropy__mse,entropy__mse,26,-0.0083,-0.3650,7.181574e-01,9.295536e-01,NO
HbT,Occipital,0.0,entropy__mse,entropy__sample_entropy,26,-0.0038,-0.1690,8.671326e-01,9.711057e-01,NO
HbT,Occipital,0.0,entropy__sample_entropy,entropy__mse,26,0.0069,0.2622,7.953382e-01,9.495997e-01,NO
HbT,Occipital,0.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0091,0.3586,7.228862e-01,9.296520e-01,NO
HbT,Occipital,2.0,entropy__mse,entropy__mse,26,-0.0114,-0.4663,6.450278e-01,9.057434e-01,NO
HbT,Occipital,2.0,entropy__mse,entropy__sample_entropy,26,-0.0090,-0.3731,7.122396e-01,9.295536e-01,NO
HbT,Occipital,2.0,entropy__sample_entropy,entropy__mse,26,0.0048,0.1781,8.601041e-01,9.698250e-01,NO
HbT,Occipital,2.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0066,0.2566,7.995840e-01,9.518857e-01,NO
HbT,Occipital,4.0,entropy__mse,entropy__mse,26,-0.0129,-0.4646,6.462491e-01,9.057434e-01,NO
HbT,Occipital,4.0,entropy__mse,entropy__sample_entropy,26,-0.0093,-0.3488,7.301500e-01,9.307346e-01,NO
HbT,Occipital,4.0,entropy__sample_entropy,entropy__mse,26,0.0010,0.0376,9.703400e-01,9.915385e-01,NO
HbT,Occipital,4.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0031,0.1191,9.061277e-01,9.781825e-01,NO
HbT,Occipital,6.0,entropy__mse,entropy__mse,26,-0.0101,-0.3698,7.146578e-01,9.295536e-01,NO
HbT,Occipital,6.0,entropy__mse,entropy__sample_entropy,26,-0.0047,-0.1816,8.573666e-01,9.698250e-01,NO
HbT,Occipital,6.0,entropy__sample_entropy,entropy__mse,26,-0.0003,-0.0123,9.902557e-01,9.959468e-01,NO
HbT,Occipital,6.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0020,0.0806,9.364104e-01,9.881309e-01,NO
HbT,Occipital,8.0,entropy__mse,entropy__mse,26,-0.0194,-0.7934,4.350279e-01,8.277916e-01,NO
HbT,Occipital,8.0,entropy__mse,entropy__sample_entropy,26,-0.0136,-0.5874,5.622176e-01,8.768906e-01,NO
HbT,Occipital,8.0,entropy__sample_entropy,entropy__mse,26,0.0012,0.0474,9.625957e-01,9.915385e-01,NO
HbT,Occipital,8.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0035,0.1444,8.863615e-01,9.761023e-01,NO
HbT,Parietal,0.0,entropy__mse,entropy__mse,26,-0.0021,-0.0791,9.375786e-01,9.882282e-01,NO
HbT,Parietal,0.0,entropy__mse,entropy__sample_entropy,26,0.0125,0.4494,6.570300e-01,9.119369e-01,NO
HbT,Parietal,0.0,entropy__sample_entropy,entropy__mse,26,-0.0049,-0.2165,8.303278e-01,9.621792e-01,NO
HbT,Parietal,0.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0091,0.3648,7.183336e-01,9.295536e-01,NO
HbT,Parietal,2.0,entropy__mse,entropy__mse,26,-0.0070,-0.2576,7.988401e-01,9.514952e-01,NO
HbT,Parietal,2.0,entropy__mse,entropy__sample_entropy,26,0.0080,0.2817,7.804590e-01,9.428622e-01,NO
HbT,Parietal,2.0,entropy__sample_entropy,entropy__mse,26,-0.0074,-0.3206,7.512068e-01,9.350190e-01,NO
HbT,Parietal,2.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0073,0.2920,7.727059e-01,9.406275e-01,NO
HbT,Parietal,4.0,entropy__mse,entropy__mse,26,-0.0051,-0.1960,8.461593e-01,9.675281e-01,NO
HbT,Parietal,4.0,entropy__mse,entropy__sample_entropy,26,0.0120,0.4270,6.730450e-01,9.171080e-01,NO
HbT,Parietal,4.0,entropy__sample_entropy,entropy__mse,26,-0.0115,-0.5121,6.130813e-01,8.927139e-01,NO
HbT,Parietal,4.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0045,0.1811,8.577562e-01,9.698250e-01,NO
HbT,Parietal,6.0,entropy__mse,entropy__mse,26,-0.0020,-0.0773,9.390088e-01,9.882282e-01,NO
HbT,Parietal,6.0,entropy__mse,entropy__sample_entropy,26,0.0170,0.6131,5.453476e-01,8.656262e-01,NO
HbT,Parietal,6.0,entropy__sample_entropy,entropy__mse,26,-0.0124,-0.6016,5.528283e-01,8.719502e-01,NO
HbT,Parietal,6.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0040,0.1673,8.684621e-01,9.711057e-01,NO
HbT,Parietal,8.0,entropy__mse,entropy__mse,26,-0.0136,-0.5271,6.027811e-01,8.912589e-01,NO
HbT,Parietal,8.0,entropy__mse,entropy__sample_entropy,26,0.0068,0.2431,8.099471e-01,9.572356e-01,NO
HbT,Parietal,8.0,entropy__sample_entropy,entropy__mse,26,-0.0215,-1.0433,3.067987e-01,7.782166e-01,NO
HbT,Parietal,8.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0050,-0.2126,8.333660e-01,9.621792e-01,NO
HbT,WholeBrain,0.0,entropy__mse,entropy__mse,26,-0.0041,-0.1353,8.934829e-01,9.761023e-01,NO
HbT,WholeBrain,0.0,entropy__mse,entropy__sample_entropy,26,0.0039,0.1354,8.934186e-01,9.761023e-01,NO
HbT,WholeBrain,0.0,entropy__sample_entropy,entropy__mse,26,0.0002,0.0063,9.950247e-01,9.980635e-01,NO
HbT,WholeBrain,0.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0059,0.2123,8.336184e-01,9.621792e-01,NO
HbT,WholeBrain,2.0,entropy__mse,entropy__mse,26,-0.0089,-0.3062,7.619651e-01,9.391273e-01,NO
HbT,WholeBrain,2.0,entropy__mse,entropy__sample_entropy,26,-0.0030,-0.1053,9.169588e-01,9.827424e-01,NO
HbT,WholeBrain,2.0,entropy__sample_entropy,entropy__mse,26,-0.0009,-0.0327,9.741470e-01,9.915385e-01,NO
HbT,WholeBrain,2.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0038,0.1395,8.901459e-01,9.761023e-01,NO
HbT,WholeBrain,4.0,entropy__mse,entropy__mse,26,-0.0077,-0.2580,7.984917e-01,9.514952e-01,NO
HbT,WholeBrain,4.0,entropy__mse,entropy__sample_entropy,26,-0.0005,-0.0175,9.861499e-01,9.948570e-01,NO
HbT,WholeBrain,4.0,entropy__sample_entropy,entropy__mse,26,-0.0017,-0.0619,9.511087e-01,9.915385e-01,NO
HbT,WholeBrain,4.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0040,0.1431,8.873349e-01,9.761023e-01,NO
HbT,WholeBrain,6.0,entropy__mse,entropy__mse,26,-0.0032,-0.1166,9.081142e-01,9.792605e-01,NO
HbT,WholeBrain,6.0,entropy__mse,entropy__sample_entropy,26,0.0047,0.1765,8.613333e-01,9.698250e-01,NO
HbT,WholeBrain,6.0,entropy__sample_entropy,entropy__mse,26,-0.0004,-0.0144,9.886385e-01,9.954100e-01,NO
HbT,WholeBrain,6.0,entropy__sample_entropy,entropy__sample_entropy,26,0.0046,0.1741,8.631962e-01,9.698250e-01,NO
HbT,WholeBrain,8.0,entropy__mse,entropy__mse,26,-0.0108,-0.4066,6.877719e-01,9.188693e-01,NO
HbT,WholeBrain,8.0,entropy__mse,entropy__sample_entropy,26,-0.0033,-0.1277,8.994436e-01,9.776561e-01,NO
HbT,WholeBrain,8.0,entropy__sample_entropy,entropy__mse,26,-0.0067,-0.2587,7.980147e-01,9.512697e-01,NO
HbT,WholeBrain,8.0,entropy__sample_entropy,entropy__sample_entropy,26,-0.0016,-0.0625,9.506553e-01,9.915385e-01,NO
